product_name,specs,price,brand,category,image_array
"PC IDEACENTER 3-7DID + MONITOR L22-40 21.45""",I3 12100/4GB/256/DOS/1Y/CLOUD GREY,7500,Lenovo,komputer,
"PC IDEACENTER 3-A8ID + MONITOR L22-40 21.45""",I3 13100/4GB/256/W11+OHS21/1Y/CLOUD GREY,8270,Lenovo,komputer,
"PC IDEACENTER 5-1VID + MONITOR L22-40 21.45""",I5 13400/8GB/512/W11+OHS21/1Y/CLOUD GREY,10790,Lenovo,komputer,
AIO 3-1FID,"Celeron 7305/8GB/256/W11+OHS21/21.5""FHD IPS/1Y/BLACK",5945,Lenovo,komputer,
AIO 3-50ID,"I3 1215/8GB/256/W11+OHS21/21.5""FHD IPS/1Y/WHITE",7395,Lenovo,komputer,
AIO 3-2UID,"I5 12450/8GB/512/W11+OHS21/21.5""FHD IPS/1Y/BLACK",9400,Lenovo,komputer,
AIO 3-7PID,"I7 13620H/8GB/512/W11+OHS/23.8""FHD IPS/1Y/LUNA GREY",14300,Lenovo,komputer,
IP 1-A6ID,"ATHLON SILVER 7120/8GB/256/W11+OHS21/14""/CLOUD GREY",5020,Lenovo,laptop,
IP 1-6UID,"ATHLON SILVER 7120/8GB/512/W11+OHS21/14""/CLOUD GREY",5320,Lenovo,laptop,
IP 1-9PID,"N4020/8GB/256/W11+OHS21/14""/2Y/GREY",4295,Lenovo,laptop,
IP 1-8BID,"N4020/8GB/512/W11+OHS21/14""/2Y/GREY",4595,Lenovo,laptop,
V14-MEID 4GB,"I3 1215U/4GB/256/W11/14""FHD/2Y/GREY",5250,Lenovo,laptop,
V14-MEID 8GB,"I3 1215U/8GB/256/W11/14""FHD/2Y/GREY",5475,Lenovo,laptop,
V14-HVID,"I3 1215U/8GB/512/DOS/14""FHD/2Y/GREY",5750,Lenovo,laptop,
V14-CHID,"I5 13420H/8GB/512/W11+OHS21/14""FHD IPS/2Y/GREY",8540,Lenovo,laptop,
V14-V7ID,"R3 7320/8GB/256/W11+OHS21/14""FHD/2Y/ARCTIC GREY",5595,Lenovo,laptop,
V14-13ID,"R5 7430/8GB/512/W11+OHS21/14""FHD/2Y/GREY",7500,Lenovo,laptop,
IP 3-CVID 256,"I3 1215U/8GB/256/W11+OHS21/14""FHD/BL/ARCTIC GREY",5745,Lenovo,laptop,
IP 3-FQID 256,"I3 1215U/8GB/256/W11+OHS21/14""FHD/BL/ARCTIC GREY",5745,Lenovo,laptop,
IP 3-FRID 256,"I3 1215U/8GB/256/W11+OHS21/14""FHD/BL/ABYSS BLUE",5745,Lenovo,laptop,
IP 3-CXID,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/MISTY BLUE",6145,Lenovo,laptop,
IP 3-CYID ,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/ARCTIC GREY",6145,Lenovo,laptop,
IP 3-D0ID ,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/ABYSS BLUE",6145,Lenovo,laptop,
IP 3-2CID,"Intel Core 3 100U/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7795,Lenovo,laptop,
IP 3-2DID,"Intel Core 3 100U/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7795,Lenovo,laptop,
IP 3-5AID (CI5) PROCESOR GAMING !!,"I5 12450H/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7845,Lenovo,laptop,
IP 3-6YID  (CI5) PROCESOR GAMING !!,"I5 12450H/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7845,Lenovo,laptop,
IP 3-6GID,"I5 12450H/16GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",8445,Lenovo,laptop,
IP 3-6HID,"I5 12450H/16GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",8445,Lenovo,laptop,
IP 5-5TID OLED,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",11895,Lenovo,laptop,
IP 5-7RID OLED,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",11895,Lenovo,laptop,
IP 5-7QID OLED,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",11895,Lenovo,laptop,
IP 3-2AID,"I7 13620H/16GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",10895,Lenovo,laptop,
IP 3-2BID,"I7 13620H/16GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",10895,Lenovo,laptop,
IP 5-9PID,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",13345,Lenovo,laptop,
IP 5-9QID,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",13345,Lenovo,laptop,
IP 5-5UID OLED,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",13595,Lenovo,laptop,
IP 5-7TID OLED,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",13595,Lenovo,laptop,
IP 5-8JID 2 IN 1 CORE 3,"Intel Core 3 100U/8GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",9895,Lenovo,laptop,
IP 5-8KID 2 IN 1 CORE 3,"Intel Core 3 100U/8GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",9895,Lenovo,laptop,
IP 3-2EID,"Intel Core 5 120U/16GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",9745,Lenovo,laptop,
IP 3-2GID,"Intel Core 5 120U/16GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",9745,Lenovo,laptop,
IP 5-0YID 2 IN 1 CI5,"I5 13420H/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",11845,Lenovo,laptop,
IP 5-10ID 2 IN 1 CI5,"I5 13420H/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",11845,Lenovo,laptop,
IP 5-7LID 2 IN 1 CORE 5 OLED,"Intel Core 5 120U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/COSMIC BLUE",12795,Lenovo,laptop,
IP 5-7MID 2 IN 1 CORE 5 OLED,"Intel Core 5 120U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",12795,Lenovo,laptop,
IP 5-11ID 2 IN 1 CORE 7,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/COSMIC BLUE",14345,Lenovo,laptop,
IP 5-12ID 2 IN 1 CORE 7,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",14345,Lenovo,laptop,
IP 5-0DID 2 IN 1 CORE 7 OLED,"Intel Core 7 150U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",14545,Lenovo,laptop,
IP 5-7NID  2 IN 1 CORE 7 OLED,"Intel Core 7 150U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",14545,Lenovo,laptop,
IP 5-7PID 2 IN 1 CORE 7 OLED,"Intel Core 7 150U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/COSMIC BLUE",14545,Lenovo,laptop,
IP DUET 3-2XID LEPASAN,"INTEL N200/8GB/256/W11+OHS21/11.5""2K IPS/TOUCH/LEPASAN/ABYSS BLUE",8795,Lenovo,laptop,
IP DUET 5-4MID LEPASAN,"I5 1335U/16GB/512/W11+OHS21/12.4"" 2.5K/TOUCH/PEN/LEPASAN/BL/STORM GREY",14950,Lenovo,laptop,
IP 3-6RID,"R3 7320U/8GB/512/W11+OHS21/14""FHD/BL/ABYSS BLUE",6195,Lenovo,laptop,
FLEX 5-HNID,"R5 5500/8GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/STORM GREY",9945,Lenovo,laptop,
IP 1-9LID,"R5 5625/16GB/512/W11+OHS21/14""FHD/CLOUD GREY",7295,Lenovo,laptop,
IP 3-04ID,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7945,Lenovo,laptop,
IP 3-05ID,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7945,Lenovo,laptop,
IP 3-7BID,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7945,Lenovo,laptop,
IP 3-7CID,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7945,Lenovo,laptop,
IP 5-0AID 2 IN 1 R5,"R5 8645HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",11195,Lenovo,laptop,
IP 5-0BID 2 IN 1 R5,"R5 8645HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",11195,Lenovo,laptop,
IP 5-9UID,"R7 7730/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",11245,Lenovo,laptop,
IP 5-9VID,"R7 7730/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",11245,Lenovo,laptop,
IP 5-0LID 13 INCH,"R7 7735HS/16GB/512/W11+OHS21/13.3""WUXGA IPS/100%sRGB/BL/CLOUD GREY",11345,Lenovo,laptop,
IP 5-0CID 2 IN 1 R7,"R7 8845HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",12295,Lenovo,laptop,
IP 5-0DID 2 IN 1 R7,"R7 8845HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",12295,Lenovo,laptop,
IP 5-1KID 2 IN 1,"Snapdragon X Plus X1P-42-100/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",13745,Lenovo,laptop,
THINKBOOK 14S YOGA-8SID,"I5 1135G7/8GB/512/W11+OHS21/14""FHD IPS/100%sRGB/TOUCH/FLIP/PEN/BL/ABYSS BLUE",11000,Lenovo,laptop,
YOGA SLIM 7X-10ID,"Snapdragon X Elite X1E-78-100 12C/32GB/SSD 1TB/W11+OHS21/14.5"" 3K OLED/100%sRGB/TOUCH/BL/COSMIC BLUE",23500,Lenovo,laptop,
