id,category,product_name,brand,specs,price,image_array
1,komputer,"PC IDEACENTER 3-7DID + MONITOR L22-40 21.45""",Lenovo,I3 12100/4GB/256/DOS/1Y/CLOUD GREY,7500,
2,komputer,"PC IDEACENTER 3-A8ID + MONITOR L22-40 21.45""",Lenovo,I3 13100/4GB/256/W11+OHS21/1Y/CLOUD GREY,8270,
3,komputer,"PC IDEACENTER 5-1VID + MONITOR L22-40 21.45""",Lenovo,I5 13400/8GB/512/W11+OHS21/1Y/CLOUD GREY,10790,
4,komputer,AIO 3-1FID,Lenovo,"Celeron 7305/8GB/256/W11+OHS21/21.5""FHD IPS/1Y/BLACK",5945,
5,komputer,AIO 3-50ID,Lenovo,"I3 1215/8GB/256/W11+OHS21/21.5""FHD IPS/1Y/WHITE",7395,
6,komputer,AIO 3-2UID,Lenovo,"I5 12450/8GB/512/W11+OHS21/21.5""FHD IPS/1Y/BLACK",9400,
7,komputer,AIO 3-7PID,Lenovo,"I7 13620H/8GB/512/W11+OHS/23.8""FHD IPS/1Y/LUNA GREY",14300,
8,laptop,IP 1-A6ID,Lenovo,"ATHLON SILVER 7120/8GB/256/W11+OHS21/14""/CLOUD GREY",5020,
9,laptop,IP 1-6UID,Lenovo,"ATHLON SILVER 7120/8GB/512/W11+OHS21/14""/CLOUD GREY",5320,
10,laptop,IP 1-9PID,Lenovo,"N4020/8GB/256/W11+OHS21/14""/2Y/GREY",4295,
11,laptop,IP 1-8BID,Lenovo,"N4020/8GB/512/W11+OHS21/14""/2Y/GREY",4595,
12,laptop,V14-MEID 4GB,Lenovo,"I3 1215U/4GB/256/W11/14""FHD/2Y/GREY",5250,
13,laptop,V14-MEID 8GB,Lenovo,"I3 1215U/8GB/256/W11/14""FHD/2Y/GREY",5475,
14,laptop,V14-HVID,Lenovo,"I3 1215U/8GB/512/DOS/14""FHD/2Y/GREY",5750,
15,laptop,V14-CHID,Lenovo,"I5 13420H/8GB/512/W11+OHS21/14""FHD IPS/2Y/GREY",8540,
16,laptop,V14-V7ID,Lenovo,"R3 7320/8GB/256/W11+OHS21/14""FHD/2Y/ARCTIC GREY",5595,
17,laptop,V14-13ID,Lenovo,"R5 7430/8GB/512/W11+OHS21/14""FHD/2Y/GREY",7500,
18,laptop,IP 3-CVID 256,Lenovo,"I3 1215U/8GB/256/W11+OHS21/14""FHD/BL/ARCTIC GREY",5745,
19,laptop,IP 3-FQID 256,Lenovo,"I3 1215U/8GB/256/W11+OHS21/14""FHD/BL/ARCTIC GREY",5745,
20,laptop,IP 3-FRID 256,Lenovo,"I3 1215U/8GB/256/W11+OHS21/14""FHD/BL/ABYSS BLUE",5745,
21,laptop,IP 3-CXID,Lenovo,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/MISTY BLUE",6145,
22,laptop,IP 3-CYID,Lenovo,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/ARCTIC GREY",6145,
23,laptop,IP 3-D0ID,Lenovo,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/ABYSS BLUE",6145,
24,laptop,IP 3-2CID,Lenovo,"Intel Core 3 100U/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7795,
25,laptop,IP 3-2DID,Lenovo,"Intel Core 3 100U/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7795,
26,laptop,IP 3-5AID (CI5) PROCESOR GAMING !!,Lenovo,"I5 12450H/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7845,
27,laptop,IP 3-6YID  (CI5) PROCESOR GAMING !!,Lenovo,"I5 12450H/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7845,
28,laptop,IP 3-6GID,Lenovo,"I5 12450H/16GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",8445,
29,laptop,IP 3-6HID,Lenovo,"I5 12450H/16GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",8445,
30,laptop,IP 5-5TID OLED,Lenovo,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",11895,
31,laptop,IP 5-7RID OLED,Lenovo,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",11895,
32,laptop,IP 5-7QID OLED,Lenovo,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",11895,
33,laptop,IP 3-2AID,Lenovo,"I7 13620H/16GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",10895,
34,laptop,IP 3-2BID,Lenovo,"I7 13620H/16GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",10895,
35,laptop,IP 5-9PID,Lenovo,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",13345,
36,laptop,IP 5-9QID,Lenovo,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",13345,
37,laptop,IP 5-5UID OLED,Lenovo,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",13595,
38,laptop,IP 5-7TID OLED,Lenovo,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",13595,
39,laptop,IP 5-8JID 2 IN 1 CORE 3,Lenovo,"Intel Core 3 100U/8GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",9895,
